City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
335,Sambava,MG,80.11,scattered clouds,-14.2667,50.1667,Melrose
342,Acarau,BR,77.52,overcast clouds,-2.8856,-40.12,castelo pizzaria
344,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
356,Mazagao,BR,75.25,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
357,Porto Seguro,BR,77.52,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
360,Inhambane,MZ,77.95,scattered clouds,-23.865,35.3833,Oceano
362,Tucuman,AR,75.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
366,Itarema,BR,77.47,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
368,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
370,Soyo,AO,78.19,light rain,-6.1349,12.3689,Hotel Mpampa
371,Basmat,IN,78.37,clear sky,19.3167,77.1667,श्री राम कृपा
382,Trincomalee,LK,81.5,overcast clouds,8.5711,81.2335,Welcombe Hotel
383,Kadiri,IN,80.78,clear sky,14.1167,78.1667,Railway Guest House
392,Bombay,IN,76.98,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
394,Hobyo,SO,77.72,light rain,5.3505,48.5268,Halane Hotel and Restaurent
399,Bhanpuri,IN,75.72,clear sky,21.1,80.9167,Bholaram Verma
416,Calamar,CO,76.95,clear sky,10.2511,-74.9146,Hostal Katyalex
429,Libreville,GA,78.3,light rain,0.3925,9.4537,Le Méridien Re-Ndama
455,Mayumba,GA,76.82,overcast clouds,-3.432,10.6554,LIKWALE LODGE
462,Pozo Colorado,PY,75.74,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
492,Barra Dos Coqueiros,BR,80.62,broken clouds,-10.9089,-37.0386,Jangadeiro
495,Santo Tomas,PH,88.56,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
500,Jamame,SO,78.8,overcast clouds,0.0722,42.7506,
501,San Andres,CO,77.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
505,Ciudad Guayana,VE,75.52,broken clouds,8.3533,-62.6528,Hotel Las Americas
521,Mudgal,IN,80.29,clear sky,16.0167,76.4333,Muneshwara hotel
527,Mayor Pablo Lagerenza,PY,75.42,clear sky,-19.9309,-60.7718,
532,Mutis,CO,75.85,broken clouds,6.2262,-77.4044,Paraiso Escondido
538,Bubaque,GW,77.05,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
544,Farafangana,MG,78.44,few clouds,-22.8167,47.8333,Miarina
548,Oranjestad,AW,78.4,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
572,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
573,Kismayo,SO,79.12,overcast clouds,-0.3582,42.5454,Agan-Hotel
574,Mahibadhoo,MV,82.35,clear sky,3.7833,72.9667,Omadhoo Inn
586,Clarence Town,AU,83.62,overcast clouds,-32.5833,151.7833,River Downs Cottage
587,Manaus,BR,75.7,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
591,Chikitigarh,IN,76.8,few clouds,19.2,84.6167,Chikiti kalyan mandap
593,Ahwa,IN,77.09,clear sky,20.75,73.6833,GREEN ORAA HOMESTAY AHWA
594,Mandera,KE,76.14,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
602,Iracoubo,GF,75.85,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
604,Macherla,IN,80.29,clear sky,16.4833,79.4333,Vivek express
610,La Primavera,CO,76.48,scattered clouds,5.4906,-70.4092,La Riviera Hotel Colonial
619,Puri,IN,75.72,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
620,Sompeta,IN,75.47,clear sky,18.9333,84.6,Netaji's Home
621,Meulaboh,ID,86.23,broken clouds,4.1363,96.1285,Kost Pria
624,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
627,Betioky,MG,82.15,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
631,Vetapalem,IN,77.58,clear sky,15.7833,80.3167,Rupesh
638,Dhidhdhoo,MV,81.54,few clouds,6.8833,73.1,Dhidhoo beach
648,Rio Formoso,BR,82.36,scattered clouds,-8.6636,-35.1586,Hotel Praia dos Carneiros
659,San-Pedro,CI,75.65,broken clouds,4.7485,-6.6363,Hotel Maria
668,Buenos Aires,AR,77.79,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
