City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Maceio,BR,2022-01-30 19:36:26,-9.6658,-35.7353,87.24,66,75,14.97
67,Mutare,ZW,2022-01-30 19:36:26,-18.9707,32.6709,61.83,98,13,4.14
68,Longyearbyen,SJ,2022-01-30 19:32:57,78.2186,15.6401,8.44,66,0,19.57
69,Dobrljin,BA,2022-01-30 19:36:26,45.1533,16.4775,35.49,75,0,3.36
70,Busselton,AU,2022-01-30 19:33:19,-33.65,115.3333,64.09,65,88,18.79
71,Ghanzi,BW,2022-01-30 19:36:27,-21.5667,21.7833,70.59,77,100,11.77
72,The Valley,AI,2022-01-30 19:36:27,18.217,-63.0578,84.06,69,40,11.5
73,Lernakert,AM,2022-01-30 19:36:27,40.5617,43.9392,15.3,93,76,4.99
74,Hamilton,US,2022-01-30 19:36:17,39.1834,-84.5333,40.75,55,0,1.01
75,Mana,GF,2022-01-30 19:36:28,5.6592,-53.7767,81.32,70,73,10.76
76,Maracaju,BR,2022-01-30 19:36:28,-21.6144,-55.1683,84.97,63,16,5.77
77,Arkhangelsk,RU,2022-01-30 19:36:29,64.5401,40.5433,15.91,85,100,6.71
78,Vila Velha,BR,2022-01-30 19:36:29,-20.3297,-40.2925,84.15,70,75,9.22
79,Hithadhoo,MV,2022-01-30 19:36:29,-0.6,73.0833,81.61,70,100,7.78
80,Souillac,MU,2022-01-30 19:32:04,-20.5167,57.5167,80.98,83,40,13.8
81,General Roca,AR,2022-01-30 19:33:24,-39.0333,-67.5833,81.0,14,4,25.86
82,Daman,IN,2022-01-30 19:36:30,20.4167,72.85,68.77,42,0,3.69
83,Upernavik,GL,2022-01-30 19:35:11,72.7868,-56.1549,-5.06,65,100,9.51
84,Basavana Bagevadi,IN,2022-01-30 19:36:30,16.5833,75.9667,71.85,31,3,6.6
85,Haljala,EE,2022-01-30 19:36:30,59.4336,26.2614,28.71,97,100,13.78
86,Oistins,BB,2022-01-30 19:36:31,13.0667,-59.5333,82.49,61,40,19.57
87,Sao Desiderio,BR,2022-01-30 19:36:31,-12.3633,-44.9733,78.42,77,100,6.26
88,Laguna,US,2022-01-30 19:34:51,38.421,-121.4238,60.66,67,0,1.99
89,Ilulissat,GL,2022-01-30 19:35:18,69.2167,-51.1,8.62,66,75,18.41
90,Olonets,RU,2022-01-30 19:36:32,60.9847,32.9698,22.03,95,100,9.31
91,Sloboda,RU,2022-01-30 19:36:32,51.1421,40.3021,28.72,95,100,16.28
92,Ribeira Grande,PT,2022-01-30 19:37:32,38.5167,-28.7,59.4,58,40,20.71
93,Oriximina,BR,2022-01-30 19:37:33,-1.7656,-55.8661,80.42,77,100,4.63
94,Bredasdorp,ZA,2022-01-30 19:37:33,-34.5322,20.0403,70.92,78,100,10.36
95,Chimore,BO,2022-01-30 19:37:34,-16.9833,-65.1333,91.81,40,100,2.93
96,Krasnoye,UA,2022-01-30 19:37:34,49.9145,24.6134,34.95,89,100,25.79
97,Sur,OM,2022-01-30 19:37:34,22.5667,59.5289,71.91,64,0,1.61
98,Gobabis,NA,2022-01-30 19:37:35,-22.45,18.9667,67.23,85,99,15.48
99,Beira,MZ,2022-01-30 19:37:35,-19.8436,34.8389,78.89,78,20,5.75
100,Apolda,DE,2022-01-30 19:37:35,51.0167,11.5,40.8,61,34,4.0
101,San Cristobal,VE,2022-01-30 19:37:36,7.7669,-72.225,71.78,56,99,6.13
102,Piacabucu,BR,2022-01-30 19:37:36,-10.4056,-36.4344,82.76,70,73,11.34
103,Rocha,UY,2022-01-30 19:37:36,-34.4833,-54.3333,81.99,46,0,9.46
104,Saint-Augustin,CA,2022-01-30 19:37:37,51.226,-58.6502,29.62,95,100,23.78
105,Arlit,NE,2022-01-30 19:33:18,18.7369,7.3853,66.94,14,0,15.79
106,Havre-Saint-Pierre,CA,2022-01-30 19:37:37,50.2334,-63.5986,12.79,78,100,17.27
107,Vangaindrano,MG,2022-01-30 19:37:37,-23.35,47.6,74.68,80,40,4.83
108,Cerrito,CO,2022-01-30 19:37:38,6.8432,-72.694,56.59,65,100,3.31
109,Sarno,IT,2022-01-30 19:37:38,40.8108,14.6198,54.61,91,93,1.57
110,Mandiana,GN,2022-01-30 19:37:38,10.6333,-8.6833,81.79,14,45,4.14
111,Saint-Francois,FR,2022-01-30 19:37:39,46.4154,3.9054,42.24,87,100,3.44
112,Cascais,PT,2022-01-30 19:37:39,38.6979,-9.4215,59.05,44,0,5.01
113,Adrar,MR,2022-01-30 19:37:39,20.5022,-10.0711,78.6,11,99,8.19
114,Pontal Do Parana,BR,2022-01-30 19:37:40,-25.6533,-48.5128,80.26,93,100,3.74
115,Chake Chake,TZ,2022-01-30 19:37:40,-5.2459,39.7666,78.22,81,99,8.93
116,Balkanabat,TM,2022-01-30 19:37:40,39.5108,54.3671,45.54,48,91,8.86
117,Aboso,GH,2022-01-30 19:37:41,5.3617,-1.9473,77.56,73,100,5.14
118,Teya,RU,2022-01-30 19:37:41,60.3778,92.6267,-8.19,100,99,2.75
119,Ust-Charyshskaya Pristan,RU,2022-01-30 19:37:41,52.3934,83.6635,3.47,92,95,2.64
120,Rawson,AR,2022-01-30 19:37:42,-43.3002,-65.1023,62.1,41,53,18.03
121,Nouadhibou,MR,2022-01-30 19:37:42,20.931,-17.0347,67.98,68,100,14.97
122,Badou,TG,2022-01-30 19:37:42,7.5833,0.6,77.34,14,48,4.5
123,Harper,LR,2022-01-30 19:37:43,4.375,-7.7169,80.2,83,67,7.43
124,Carnarvon,AU,2022-01-30 19:37:43,-24.8667,113.6333,78.87,83,88,19.57
125,Polignano A Mare,IT,2022-01-30 19:37:43,40.9959,17.2159,49.01,50,0,6.11
126,Kashan,IR,2022-01-30 19:37:44,33.9831,51.4364,38.79,44,0,4.61
127,Kousseri,CM,2022-01-30 19:37:44,12.0769,15.0306,75.16,11,53,11.5
128,Georgetown,MY,2022-01-30 19:33:34,5.4112,100.3354,82.89,88,20,1.99
129,Luderitz,NA,2022-01-30 19:37:44,-26.6481,15.1594,68.14,81,88,3.6
130,Sunndalsora,NO,2022-01-30 19:37:45,62.6754,8.5515,32.05,90,100,9.71
